City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,ericeira,39.2345,-10.6137,20.86,73,0,7.94,PT,1691884674
314,livani,56.4268,26.4053,11.87,87,0,1.96,LV,1691884674
315,iqaluit,64.2599,-76.8046,8.8,66,0,5.66,CA,1691884676
316,kurumkan,55.5434,111.2654,12.59,77,98,1.17,RU,1691884676
317,biloela,-25.3131,149.7065,22.51,32,6,3.66,AU,1691884677
318,yilan,45.7378,129.4154,16.59,98,100,1.23,CN,1691884677
319,dzhalagash,44.0971,63.64,21.21,34,0,3.94,KZ,1691884677
320,port-gentil,-1.48,9.1694,23.19,89,79,5.45,GA,1691884678
321,saratamata,-15.0674,168.8381,24.48,62,61,7.87,VU,1691884678
322,zarghun shahr,32.1214,68.5276,21.85,20,0,6.65,AF,1691884679
323,jilib,0.6476,42.6971,21.66,95,8,1.85,SO,1691884679
324,dabakala,8.0563,-4.3158,22.29,98,73,2.21,CI,1691884680
325,basoko,1.6183,24.3601,21.68,98,97,1.3,CD,1691884680
326,leulumoega,-14.3237,-171.8913,27.58,77,7,3.82,WS,1691884681
327,aswan,22.3576,32.7924,28.57,20,0,4.06,EG,1691884681
328,nova sintra,15.2652,-24.9884,26.6,74,25,0.35,CV,1691884681
329,bay harbor,46.5252,-85.7467,16.06,87,99,5.35,US,1691884681
330,tofol,4.9678,164.0658,28.69,68,16,1.43,FM,1691884681
331,ungsang-nodongjagu,41.1863,131.245,21.64,95,100,8.28,KP,1691884682
332,san ignacio,-5.4582,-79.0362,22.04,76,94,0.82,PE,1691884682
333,dudinka,71.0186,83.9572,6.63,57,15,2.94,RU,1691884683
334,fort mcmurray,58.1536,-112.7124,20.96,49,40,3.17,CA,1691884683
335,kiboga,1.0468,31.7556,18.13,85,96,1.32,UG,1691884685
336,priob'ye,62.1837,66.7263,6.64,67,21,2.12,RU,1691884685
337,medicine hat,50.5924,-109.9934,19.47,39,78,5.76,CA,1691884685
338,kerikeri,-35.0036,171.5692,14.33,78,100,6.67,NZ,1691884686
339,dhamar,14.5192,44.1276,16.72,64,58,0.69,YE,1691884687
340,fort st. john,56.6337,-121.8393,21.32,45,95,4.54,CA,1691884687
341,olonkinbyen,72.0051,-8.6266,3.81,91,49,6.76,SJ,1691884687
342,panjab,33.7814,67.4479,8.43,46,0,2.04,AF,1691884687
343,yanbu,24.4835,38.41,25.29,34,27,1.55,SA,1691884688
344,udachny,72.385,117.7635,7.04,45,36,1.21,RU,1691884689
345,narvik,66.9177,17.8712,7.77,95,92,0.76,SE,1691884690
346,avarua,-21.7581,-159.8908,24.41,86,65,4.32,CK,1691884690
347,prince rupert,55.5529,-130.0808,11.0,98,100,2.42,CA,1691884690
348,mayen abun,8.7898,28.7608,20.54,91,100,0.83,SS,1691884691
349,tarrafal,15.4892,-24.1642,26.35,78,51,0.96,CV,1691884692
350,bethel,51.8447,-173.9239,10.03,95,100,3.52,US,1691884693
351,rocha,-34.9633,-54.2142,10.54,65,81,10.91,UY,1691884694
352,seymour,-37.0711,145.1553,8.99,82,28,2.44,AU,1691884694
353,bairnsdale,-37.8041,147.8697,11.42,75,96,1.71,AU,1691884694
354,prince rupert,54.0032,-130.6526,17.22,88,88,6.58,CA,1691884695
355,brasileia,-11.1714,-68.5303,25.12,74,91,0.96,BR,1691884695
356,hluti,-27.5739,32.2907,13.47,82,0,2.08,ZA,1691884697
357,macapa,1.5732,-52.0106,24.54,74,69,1.23,BR,1691884699
358,salacgriva,57.788,23.8555,17.24,64,7,2.55,LV,1691884699
359,port hedland,-19.3549,118.5394,24.19,56,4,3.26,AU,1691884700
360,qamdo,29.6427,98.0245,3.04,89,86,1.19,CN,1691884701
361,khorinsk,52.4164,109.1794,17.3,63,46,0.45,RU,1691884702
362,rundu,-18.3924,19.6857,16.57,29,41,2.53,NA,1691884703
363,yellowknife,73.2494,-123.7717,1.89,97,100,4.65,CA,1691884703
